"ID";"label";"Country";"N";"B_IB";"B_ATT";"B_PBC";"B_PN";"B_SN";"IB_ATT";"IB_PBC";"IB_PN";"IB_SN";"ATT_PBC";"ATT_PN";"ATT_SN";"PBC_PN";"PBC_SN";"PN_SN";"POW";"IC";"MASC";"UA";"LSO";"INDUL";"UA_p";"FUT_p";"POW_p";"inst_p";"HUMAN_p";"PERF_p";"ingr_p";"EGAL_p";"ASSERT_p";"UA_v";"FUT_v";"POW_v";"inst_v";"HUMAN_v";"PERF_v";"ingr_v";"EGAL_v";"ASSERT_v"
"168";168;"Chen et al (2017)";"USA";248;NA;NA;NA;NA;NA;0.63;0.45;NA;0.32;0.29;NA;0.32;NA;0.19;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"169";169;"Halder et al (2016)";"Finland";402;NA;NA;NA;NA;NA;0.643;0.487;NA;0.604;0.493;NA;0.675;NA;0.539;NA;33;63;26;59;38;57;5.02;4.24;4.89;4.63;3.96;3.81;4.07;3.35;3.81;3.85;5.07;2.19;4.11;5.81;6.11;5.42;4.24;3.68
"170";170;"Halder et al (2016)";"India";130;NA;NA;NA;NA;NA;0.554;0.429;NA;0.615;0.447;NA;0.688;NA;0.54;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"171";171;"Schaffner et al (2017)";"Switzerland";1295;NA;NA;NA;NA;NA;0.489;0.499;0.309;0.481;0.583;0.2;0.502;0.131;0.35;0.264;34;68;70;58;74;66;5.37;4.73;4.9;4.06;3.6;4.94;3.97;2.97;4.51;3.16;4.79;2.44;4.69;5.54;5.82;4.94;4.92;3.21
"172";172;"Wesselink et al (2017)";"Netherlands";479;0.243;0.393;0.203;NA;NA;0.17;0.214;NA;NA;0.217;NA;NA;NA;NA;NA;38;80;14;53;67;68;4.7;4.61;4.11;4.46;3.86;4.32;3.7;3.5;4.32;3.24;5.07;2.45;4.55;5.2;5.49;5.17;4.99;3.02
"173";173;"Po�kus & Zukauskiene (2017)";"Lithuania";612;0.68;0.19;0.42;NA;0.31;0.37;0.52;NA;0.45;0.46;NA;0.54;NA;0.48;NA;42;60;19;65;82;16;3.25;2.995;5.31;4.515;3.775;3.64;5.575;4.045;3.87;4.89;5.34;2.87;4.055;5.445;5.83;5.765;4.35;3.365
"174";174;"Li et al (2019)";"USA";612;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.4;0.64;0.34;0.57;0.56;0.59;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"175";175;"Onwezen et al (2013)";"Netherlands";617;0.511;0.242;0.3005;0.334;0.214;0.431;0.557;0.594;0.391;0.341;0.535;0.248;0.483;0.282;0.437;38;80;14;53;67;68;4.7;4.61;4.11;4.46;3.86;4.32;3.7;3.5;4.32;3.24;5.07;2.45;4.55;5.2;5.49;5.17;4.99;3.02
"176";176;"White et al (2009)";"Australia";164;NA;NA;NA;NA;NA;0.41;0.58;0.49;0.39;0.32;0.44;0.32;0.36;0.39;0.29;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"177";177;"White et al (2009)";"Australia";175;NA;NA;NA;NA;NA;0.39;0.58;0.49;0.43;0.27;0.33;0.51;0.36;0.37;0.34;36;90;61;51;21;71;4.39;4.09;4.74;4.29;4.28;4.36;4.17;3.4;4.28;3.98;5.15;2.78;4.4;5.58;5.89;5.75;5.02;3.81
"178";178;"G�rling et al (2003)";"Sweden";524;NA;NA;NA;NA;NA;NA;NA;0.65;NA;NA;NA;NA;NA;NA;NA;31;71;5;29;53;78;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"179";179;"Diamantopoulos et al (2003)";"UK";1697;NA;0.495;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"180";180;"Wang et al (2019b)";"China";394;0.428;0.237;0.288;NA;0.301;0.422;0.347;NA;0.428;0.297;NA;0.292;NA;0.265;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"181";181;"Wang et al (2019c)";"China";534;0.277;0.241;0.276;NA;0.203;0.579;0.432;NA;0.365;0.564;NA;0.466;NA;0.361;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"182";182;"Zahedi et al (2019)";"Spain";406;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.796;NA;0.894;NA;0.877;NA;57;51;42;86;48;44;3.97;3.51;5.52;3.85;3.32;4.01;5.45;3.01;4.42;4.76;5.63;2.26;5.2;5.69;5.8;5.79;4.82;4
"183";183;"Hu et al (2019)";"China";372;NA;NA;NA;NA;NA;0.553;0.608;0.745;0.607;0.446;0.651;0.536;0.629;0.697;0.603;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"184";184;"Ricci et al (2018)";"Italy";550;NA;NA;NA;NA;NA;0.029;0.474;NA;NA;0.056;NA;NA;NA;NA;NA;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"185";185;"Pino et al (2012)";"Italy";291;NA;NA;NA;NA;NA;0.651;NA;NA;NA;NA;NA;NA;NA;NA;NA;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"186";186;"Jalilian et al (2016)";"Iran";351;0.558;0.496;0.202;NA;0.468;0.529;0.004;NA;0.332;0.127;NA;0.468;NA;0.336;NA;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"187";187;"Liu et al (2018)";"China";1277;NA;NA;NA;NA;NA;0.751;0.815;NA;0.888;0.844;NA;0.739;NA;0.804;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"188";188;"Khan et al (2019)";"Pakistan";243;NA;NA;NA;NA;NA;0.337;0.42;0.516;0.627;0.101;0.559;0.387;0.329;0.539;0.663;55;14;50;70;0;NA;4.0025;3.7;5.1575;4.415;4.375;3.805;5.4225;3.2375;3.9825;4.685;5.5775;3.0475;4.7575;5.315;5.8625;5.4475;4.0225;4.04
"189";189;"Josefsson et al (2017)";"Sweden";246;NA;NA;NA;NA;NA;0.504166667;0.609;NA;0.416833333;0.421333333;NA;0.466333333;NA;0.3645;NA;31;71;5;29;53;78;5.32;4.39;4.85;5.22;4.1;3.72;3.66;3.84;3.38;3.6;4.89;2.7;3.94;5.65;5.8;6.04;5.15;3.61
"190";190;"Sreen et al (2018)";"India";452;NA;NA;NA;NA;NA;0.685;0.554;NA;0.474;0.555;NA;0.509;NA;0.393;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"191";191;"Ioannou et al (2013)";"Greece";357;NA;NA;NA;NA;NA;0.46;0.3;NA;0.3;0.32;NA;0.38;NA;0.32;NA;60;35;57;112;45;50;3.39;3.4;5.4;3.25;3.34;3.2;5.27;3.48;4.58;5.09;5.19;2.39;5.4;5.23;5.81;5.46;4.89;2.96
"192";192;"Asadi et al (2019)";"Malaysia";183;NA;NA;NA;NA;NA;0.73;0.664;0.751;0.777;0.591;0.636;0.686;0.65;0.742;0.7;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"193";193;"Bijani et al (2017)";"India";120;NA;0.191;NA;NA;0.422;NA;NA;NA;NA;NA;NA;0.178;NA;NA;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"194";194;"Carmi et al (2015)";"Israel";1014;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;0.34;NA;0.02;NA;13;54;47;81;38;NA;4.01;3.85;4.73;4.46;4.1;4.08;4.7;3.19;4.23;4.38;5.25;2.72;4.27;5.62;5.75;5.75;4.71;3.76
"195";195;"Cembalo et al (2019)";"Italy";1134;0.27;0.21;0.07;NA;0.22;0.74;0.56;NA;0.62;0.51;NA;0.65;NA;0.43;NA;50;76;70;75;61;30;3.79;3.25;5.43;3.68;3.63;3.58;4.94;3.24;4.07;4.47;5.91;2.47;5.13;5.58;6.07;5.72;4.88;3.82
"196";196;"Chin et al (2016)";"Malaysia";327;NA;NA;NA;NA;NA;0.75;0.534;NA;0.793;0.587;NA;0.695;NA;0.453;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"197";197;"Reto & Braunsberger (2016)";"Mexico";242;NA;0.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81;30;69;82;24;97;4.18;3.87;5.22;4.06;3.98;4.1;5.71;3.64;4.45;5.26;5.86;2.85;4.92;5.1;6.16;5.95;4.73;3.79
"198";198;"Graham-Rowe et al (2015)";"UK";279;0.03;-0.02;0.07;0.06;0.01;0.72;0.54;0.73;0.5;0.4;0.69;0.45;0.33;0.29;0.49;35;89;66;35;51;69;4.65;4.28;5.15;4.27;3.72;4.08;4.08;3.67;4.15;4.11;5.06;2.8;4.31;5.43;5.9;5.55;5.17;3.7
"199";199;"Jaiswal & Kant (2018)";"India";351;0.587367006;0.488876262;0.344963766;NA;NA;0.727323862;0.580517011;NA;NA;0.550454358;NA;NA;NA;NA;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"200";200;"Kirmani & Khan (2018)";"India";515;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.07;NA;NA;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"201";201;"Kumar (2019)";"India";101;NA;NA;NA;NA;NA;0.284;0.555;0.708;0.672;0.241;0.367;0.201;0.4;0.605;0.651;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"202";202;"Lai & Cheng (2016)";"Hong Kong";266;NA;0.072;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;68;25;57;29;96;NA;4.32;4.03;4.96;4.13;3.9;4.8;5.32;3.47;4.67;4.63;5.5;3.24;4.43;5.32;5.64;5.11;4.35;4.81
"203";203;"Lopes et al (2019)";"Brazil";99;0.614;0.246;0.475;0.61;0.417;0.417;0.614;0.517;0.471;0.273;0.469;0.354;0.3;0.547;0.537;69;38;49;76;44;59;3.6;3.81;5.33;3.83;3.66;4.04;5.18;3.31;4.2;4.99;5.69;2.35;5.62;5.68;6.13;5.15;4.99;2.91
"204";204;"Mainardes et al (2017)";"Brazil";655;NA;NA;NA;NA;NA;0.670820393;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;38;49;76;44;59;3.6;3.81;5.33;3.83;3.66;4.04;5.18;3.31;4.2;4.99;5.69;2.35;5.62;5.68;6.13;5.15;4.99;2.91
"205";205;"Mangafic et al (2017)";"Bosnia and Herzegovina";173;NA;NA;NA;NA;NA;0.735;NA;0.41;0.442;NA;0.363;0.442;NA;NA;0.196;90;22;48;87;70;44;4.175;3.725;4.975;4.335;4.215;4.235;5.585;3.835;4.445;5.18;5.42;3.045;4.41;5.295;6.02;5.465;4.51;4.5
"206";206;"Nguyen et al (2016)";"Vietnam";682;0.4;0.47;NA;0.45;0.44;0.29;NA;0.31;0.37;NA;0.19;0.32;NA;NA;0.33;70;20;40;30;80;NA;4.05333333333333;3.84666666666667;5.41666666666667;4.42333333333333;4.68;4.32;5.88333333333333;3.39;3.85666666666667;5.35333333333333;5.77666666666667;2.89;5.01;5.21;5.93;5.79666666666667;4.26666666666667;3.96666666666667
"207";207;"Paul et al (2016)";"India";521;NA;NA;NA;NA;NA;0.657267069;0.673795221;NA;0.478539445;0.676756973;NA;0.498998998;NA;0.570087713;NA;77;48;56;40;51;26;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"208";208;"Po�kus (2015)";"Lithuania";142;0.71;0.05;0.47;0.63;0.34;0.12;0.47;0.66;0.48;0.15;0.16;0.04;0.44;0.28;0.38;42;60;19;65;82;16;3.25;2.995;5.31;4.515;3.775;3.64;5.575;4.045;3.87;4.89;5.34;2.87;4.055;5.445;5.83;5.765;4.35;3.365
"209";209;"Qi & Ploeger (2019)";"China";300;NA;NA;NA;NA;NA;0.723;0.385;NA;0.466;0.405;NA;0.57;NA;0.397;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"210";210;"Ru et al (2019)";"China";425;NA;NA;NA;NA;NA;0.54;0.66;0.68;0.52;0.41;0.7;0.39;0.62;0.37;0.59;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"211";211;"Shi et al (2017)";"China";418;NA;NA;NA;NA;NA;0.635;0.534;0.641;0.461;0.545;0.578;0.467;0.579;0.544;0.497;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"212";212;"Shimoda et al (2019)";"Japan";297;NA;NA;NA;NA;-0.2745;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;54;46;95;92;88;42;4.07;4.29;5.11;5.19;4.3;4.22;4.63;3.19;3.59;4.33;5.25;2.86;3.99;5.41;5.17;5.26;4.33;5.56
"213";213;"Wan et al (2018)";"Hong Kong";263;NA;NA;NA;NA;NA;0.505;0.537;NA;0.546;0.467;NA;0.574;NA;0.508;NA;68;25;57;29;96;NA;4.32;4.03;4.96;4.13;3.9;4.8;5.32;3.47;4.67;4.63;5.5;3.24;4.43;5.32;5.64;5.11;4.35;4.81
"214";214;"Wang (2016)";"Taiwan";425;NA;NA;0.505;0.451;0.393;NA;NA;NA;NA;NA;NA;NA;0.586;0.443;0.428;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"215";215;"Wang & Wang (2016)";"Taiwan";793;NA;NA;0.45;0.448;0.2665;NA;NA;NA;NA;NA;NA;NA;0.54;0.271;0.234;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"216";216;"Wang et al (2013)";"China";288;NA;NA;NA;NA;NA;0.685;0.57;NA;0.481;0.415;NA;0.329;NA;0.684;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"217";217;"Wu et al (2018)";"Taiwan";613;0.19;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"218";218;"Xu et al (2017)";"China";631;0.485;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"219";219;"Yu et al (2017)";"Taiwan";1586;NA;NA;NA;NA;NA;NA;NA;0.675;NA;NA;NA;NA;NA;NA;NA;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"220";220;"Zailani et al (2016)";"Malaysia";392;NA;NA;NA;NA;NA;0.599666667;0.46;NA;0.353333333;0.541666667;NA;0.469333333;NA;0.473333333;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"221";221;"Zainudin et al (2017)";"Malaysia";392;NA;NA;NA;NA;NA;0.5;0.05;0.32;0.45;0.02;0.65;0.33;0.01;0.25;0.18;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"222";222;"Wang et al (2016)";"China";433;NA;NA;NA;NA;NA;0.22;0.46;0.16;0.54;0.23;0.09;0.12;0.08;0.56;0.13;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"223";223;"Kim et al (2013)";"USA";411;NA;NA;NA;NA;NA;0.63;0.505;NA;0.658;NA;NA;NA;NA;NA;NA;40;91;62;46;26;68;4.15;4.15;4.88;4.2;4.17;4.49;4.25;3.34;4.55;4;5.31;2.85;4.17;5.53;6.14;5.77;5.06;4.32
"224";224;"Marzouk & Mahrous (2020)";"Egypt";519;NA;0.2295;0.2875;0.2845;0.18875;NA;NA;NA;NA;0.33325;0.35825;0.29125;0.3135;0.2375;0.2455;NA;25;NA;NA;NA;NA;4.06;3.86;4.92;4.5;4.73;4.27;5.64;2.81;3.91;5.36;5.8;3.24;4.85;5.17;5.9;5.56;3.18;3.28
"225";225;"Moon et al (2020)";"Pakistan";285;NA;NA;NA;NA;NA;0.65;0.43;0.34;0.73;0.44;0.3;0.46;0.62;0.31;0.19;55;14;50;70;0;NA;4.0025;3.7;5.1575;4.415;4.375;3.805;5.4225;3.2375;3.9825;4.685;5.5775;3.0475;4.7575;5.315;5.8625;5.4475;4.0225;4.04
"226";226;"Shaharudin et al (2020)";"Malaysia";110;0.346;NA;0.192;NA;0.378;NA;0.457;NA;0.359;NA;NA;NA;NA;0.456;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"227";227;"Liu et al (2020)";"China";347;NA;NA;NA;NA;NA;NA;0.724;NA;0.42;NA;NA;NA;NA;0.371;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"228";228;"Parveen & Ahmad (2020)";"Pakistan";404;NA;NA;NA;NA;NA;0.632;0.623;NA;0.374;0.677;NA;0.475;NA;0.465;NA;55;14;50;70;0;NA;4.0025;3.7;5.1575;4.415;4.375;3.805;5.4225;3.2375;3.9825;4.685;5.5775;3.0475;4.7575;5.315;5.8625;5.4475;4.0225;4.04
"229";229;"Agag & Colmekcioglu (2020)";"Egypt";871;0.61;0.384;0.573;0.402;0.529;0.289;0.254;0.518;0.647;0.407;0.327;0.367;0.478;0.432;0.378;NA;25;NA;NA;NA;NA;4.06;3.86;4.92;4.5;4.73;4.27;5.64;2.81;3.91;5.36;5.8;3.24;4.85;5.17;5.9;5.56;3.18;3.28
"230";230;"Alzubaidi et al (2020)";"Saudi Arabia";611;0.5705;NA;NA;NA;0.403;NA;NA;NA;0.343;NA;NA;NA;NA;NA;NA;95;25;60;80;36;52;3.95666666666667;3.58;5.09333333333333;4.29;4.39;3.99333333333333;5.51333333333333;3.06666666666667;3.92666666666667;4.98333333333333;5.83333333333333;3.06666666666667;5.27333333333333;5.32333333333333;6.02333333333333;5.63;3.52666666666667;4.18333333333333
"231";231;"Reyhanloo et al (2018)";"Switzerland";68;NA;NA;NA;NA;NA;0.4825;NA;NA;0.44;NA;NA;0.693333333;NA;NA;NA;34;68;70;58;74;66;5.37;4.73;4.9;4.06;3.6;4.94;3.97;2.97;4.51;3.16;4.79;2.44;4.69;5.54;5.82;4.94;4.92;3.21
"232";232;"Bashir et al (2019)";"Malaysia";394;0.688;NA;NA;0.518;NA;NA;NA;NA;NA;NA;NA;NA;0.585;NA;NA;104;26;50;36;41;57;4.78;4.58;5.17;4.61;4.87;4.34;5.51;3.51;3.87;4.88;5.89;2.97;4.87;5.51;6.04;5.85;3.78;4.81
"233";233;"Wang et al (2020a)";"China";483;0.335333333;0.267333333;0.290666667;NA;0.222;0.503666667;0.396666667;NA;0.332333333;0.554;NA;0.455;NA;0.352;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"234";234;"Bagheri et al (2019)";"Iran";400;NA;NA;NA;NA;NA;0.67;0.725;0.657;0.643;0.711;0.574;0.635;0.716;0.689;0.588;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"235";235;"Chang et al (2019)";"Taiwan";316;NA;NA;NA;NA;NA;0.39;0.31;NA;0.4;0.23;NA;0.21;NA;0.32;NA;58;17;45;69;93;49;4.34;3.96;5.18;4.59;4.11;4.56;5.59;3.18;3.92;5.31;5.2;3.09;5.15;5.26;5.74;5.45;4.06;3.28
"236";236;"Gkargkavouzi et al (2019)";"Greece";1551;NA;NA;NA;NA;NA;0.52;0.51;0.5;0.58;0.49;0.68;0.42;0.43;0.52;0.45;60;35;57;112;45;50;3.39;3.4;5.4;3.25;3.34;3.2;5.27;3.48;4.58;5.09;5.19;2.39;5.4;5.23;5.81;5.46;4.89;2.96
"237";237;"Gunarathne et al (2020)";"Sri Lanka";440;0.488;0.235;0.331;NA;0.457;0.478;0.492;NA;0.523;0.691;NA;0.482;NA;0.688;NA;NA;35;NA;NA;NA;NA;4.15;4.19;5.47;4.38;4.57;4.25;5.92;2.9;3.73;4.73;5.6;2.64;4.71;5.28;6.05;5.32;4.51;4.76
"238";238;"Hameed et al (2019)";"Pakistan";300;NA;0.207;0.401;NA;0.418;NA;NA;NA;NA;0.215;NA;0.253;NA;0.416;NA;55;14;50;70;0;NA;4.0025;3.7;5.1575;4.415;4.375;3.805;5.4225;3.2375;3.9825;4.685;5.5775;3.0475;4.7575;5.315;5.8625;5.4475;4.0225;4.04
"239";239;"Heidari et al (2020)";"Iran";382;0.46;0.196;0.415;0.26;0.336;0.179;0.389;0.275;0.398;0.183;0.315;0.201;0.16;0.331;0.179;58;41;43;59;14;40;3.67;3.7;5.43;3.88;4.23;4.58;6.03;2.99;4.04;5.36;5.84;2.8;5.54;5.61;6.08;5.86;3.75;4.99
"240";240;"Irfan et al (2020)";"Pakistan";349;NA;NA;NA;NA;NA;0.523;0.164;NA;0.481;0.327;NA;0.374;NA;0.243;NA;55;14;50;70;0;NA;4.0025;3.7;5.1575;4.415;4.375;3.805;5.4225;3.2375;3.9825;4.685;5.5775;3.0475;4.7575;5.315;5.8625;5.4475;4.0225;4.04
"241";241;"Jin et al (2019)";"China";336;NA;NA;NA;NA;NA;0.51;0.57;NA;0.35;0.47;NA;0.2;NA;0.26;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"242";242;"Khan et al (2020)";"Belgium";637;0.397;0.366;0.538;NA;0.452;0.517;0.554;NA;0.51;0.477;NA;0.53;NA;0.606;NA;65;75;54;94;82;57;4.96;4.44;4.68;4.125;3.52;4.285;3.86;3.3;4.435;3.28;4.96;2.495;4.685;5.33;5.75;5.175;4.94;3.055
"243";243;"Shen et al (2020)";"China";327;NA;NA;NA;NA;NA;0.398;0.393;0.637;0.51;0.262;0.314;0.44;0.37;0.598;0.619;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"244";244;"Si et al (2020)";"China";705;0.518;0.411;0.536;0.355;0.267;0.438;0.498;0.462;0.417;0.514;0.503;0.468;0.471;0.431;0.454;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"245";245;"Wang et al (2019d)";"China";483;0.559;0.377;0.382;NA;0.417;0.682;0.491;NA;0.528;0.506;NA;0.605;NA;0.512;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"246";246;"Wang et al (2019e)";"China";1273;0.5;0.11;0.08;NA;0.13;0.52;0.33;NA;0.32;0.17;NA;0.19;NA;0.15;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"247";247;"Wang et al (2020b)";"China";534;0.493;0.434;0.295;NA;0.363;0.666;0.396;NA;0.483;0.564;NA;0.466;NA;0.361;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"248";248;"Xu et al (2020a)";"China";451;NA;NA;NA;NA;NA;0.534;0.674;NA;0.552;0.53;NA;0.734;NA;0.558;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"249";249;"Xu et al (2020b)";"China";460;NA;NA;NA;NA;NA;0.46;0.642;NA;0.572;0.504;NA;0.682;NA;0.623;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
"250";250;"Yang et al (2020a)";"China";221;NA;NA;NA;NA;NA;NA;0.418;NA;NA;NA;NA;NA;NA;NA;NA;80;20;66;30;87;24;4.94;3.75;5.04;4.77;4.36;4.45;5.8;3.05;3.76;5.28;4.73;3.1;4.56;5.32;5.67;5.09;3.68;5.44
